Company Name,Title,Location,Stipend,Work From Home
Gigde Global Solutions Private Limited,Graphic Design,Noida,"₹ 10,000-12,000 /month",No
Bijon Trading Private Limited (Genotek),Field Sales,Work From Home,"₹ 3,000 /month +  Incentives",Yes
Bijon Trading Private Limited (Genotek),Content Development (English),Mumbai,"₹ 6,000 /month",No
IG Drones,Business Development,Hyderabad,"₹ 10,000 /month",No
WeValueSoft,Business Development (Sales),Chennai,"₹ 2,000 /month",No
Bijon Trading Private Limited (Genotek),Content Development (English),Delhi,"₹ 6,000 /month",No
IG Drones,Executive Assistant To CEO,Indore,"₹ 10,000 /month",No
Monk Minds Hub (Group Of Sai Kasthuri Industries),Web Development,Bangalore,"₹ 11,000-15,000 /month",No
UrbanMatrix Technologies Private Limited,ReactJS Development,Hyderabad,"₹ 25,000-35,000 /month",No
NextEdge Labs,UI/UX Design,Mumbai,"₹ 5,000 /month",No
Gigde Global Solutions Private Limited,Graphic Design,Ahmedabad,"₹ 10,000-12,000 /month",No
ANO SEO Tool,Content Development (English),Work From Home,"₹ 8,000-12,000 /month",Yes
Bijon Trading Private Limited (Genotek),Business Research And Feasability Study,Work From Home,"₹ 8,000 /month",Yes
Budgetree Technology Private Limited,Sales,Bhubaneswar,"₹ 10,000 lump sum",No
Jankalyan Multipurpose Education Society,Fundraising,Bangalore,Unpaid,No
Daphnis Labs Technologies Private Limited,Product Marketing,Bangalore,"₹ 3,000-5,000 /month",No
Krsh Welfare Foundation,Legal Psychology Research,Work From Home,Unpaid,Yes
Tare Zameen Foundation,Fundraising,Work From Home,"₹ 1,000 /month +  Incentives",Yes
Daphnis Labs Technologies Private Limited,React Native,Work From Home,"₹ 8,000-12,000 /month",Yes
Arpita Nirmal,Video Making/Editing,Work From Home,"₹ 6,000 /month",Yes
SeiaSecure IT Solutions,Business Development (Sales),Work From Home,"₹ 5,000-10,000 /month",Yes
Daphnis Labs Technologies Private Limited,Graphic Design,Work From Home,"₹ 3,000-5,000 /month",Yes
Krsh Welfare Foundation,Clinical Psychology Research,Work From Home,Unpaid,Yes
Celebrare,Graphic Design,Work From Home,"₹ 12,000-15,000 /month",Yes
Density Exchange,Finance,Work From Home,"₹ 3,000 /month +  Incentives",Yes
Leadship Media,Finance,Work From Home,"₹ 1,000 lump sum",Yes
LearnAsYouGo Private Limited,Subject Matter Expert/Real-Time Doubt Solving,Work From Home,"₹ 6,000-12,000 /month",Yes
TopHire,Talent Acquisition,Work From Home,"₹ 5,000-15,000 /month",Yes
Adore Earth,Graphic Design,Work From Home,Unpaid,Yes
MaVY EduSolution,Subject Matter Expert (SME)- Mechanical Engineering (Graduation),Work From Home,"₹ 6,000 /month +  Incentives",Yes
GEMA Education Technology Private Limited,Counseling,Work From Home,"₹ 1,000 /month",Yes
Krsh Welfare Foundation,UI/UX and Psychology Research,Work From Home,Unpaid,Yes
Travel Secrets Magazine,SEO & Social Media Marketing,Work From Home,"₹ 5,000 /month",Yes
Corizo Edu-Tech,Marketing,Work From Home,"₹ 1,000-15,000 /month",Yes
Corizo Edu-Tech,Lead Generation,Work From Home,"₹ 1,000-15,000 /month",Yes
Charmo Foods,Social Media Marketing,Work From Home,"₹ 4,000 /month",Yes
Corizo Edu-Tech,Webinar Event Planning,Work From Home,"₹ 1,000-15,000 /month",Yes
Solution Graph,Operations,Work From Home,"₹ 2,000 /month",Yes
Corizo Edu-Tech,Online Marketing,Work From Home,"₹ 1,000-15,000 /month",Yes
Shri Genesis Software Solutions,Social Media Marketing,Work From Home,"₹ 3,000 /month",Yes
Intesome,International Business Development,Work From Home,"₹ 10,000 /month",Yes
GEMA Education Technology Private Limited,Human Resources (HR),Work From Home,"₹ 1,000 /month",Yes
Corizo Edu-Tech,Social Media Marketing,Work From Home,"₹ 1,000-15,000 /month",Yes
Ozibook Tech Solutions Private Limited,Human Resources (HR),Work From Home,"₹ 1,000 /month",Yes
Paathshala Spark,Chemistry Teaching - JEE Education,Work From Home,"₹ 6,000 /month",Yes
DeepThought Edutech Ventures Private Limited,Organizational Psychology,Work From Home,"₹ 18,000 /month",Yes
Bijon Trading Private Limited (Genotek),CRM Administration - Hubspot,Work From Home,"₹ 8,000 /month",Yes
Rustomjee - Kapstone Constructions Pvt. Ltd.,Sales,Hyderabad,"₹ 25,000 /month",No
DeepThought Edutech Ventures Private Limited,Behavioral Research Fellowship,Mumbai,"₹ 18,000 /month",No
DeepThought Edutech Ventures Private Limited,Narrative Crafting,Thane,"₹ 18,000 /month",No
ABChapri Retreats India Private Limited,Hotel Management (Operations),Hyderabad,"₹ 5,000-7,000 /month",No
WEB5G TECHNOLOGY PRIVATE LIMITED,Business Development (Sales),Hyderabad,"₹ 12,000 /month +  Incentives",No
Robo Planet,Business Development (Sales),Gurgaon,"₹ 3,000-10,000 /month",No
Chirpn IT Solutions,Graphics Design,Ghaziabad,"₹ 5,000 lump sum",No
Deeshuumm,Business Development,Gurgaon,"₹ 7,000-10,000 /month",No
Jinishis Fintech Private Limited,Policy Research Analyst,Jodhpur,"₹ 7,000-8,000 /month",No
Primary Healthtech,Chemical Engineering,Gurgaon,"₹ 5,000-10,000 /month",No
Airblack,Customer Service,Ahmedabad,"₹ 15,000 /month",No
SKIDS Health,Graphic/Motion Design,Guwahati,"₹ 18,000 /month",No
Wudbox,Field Sales,Gurgaon,"₹ 10,000 /month",No
Tring,Celebrity Interactions,Gurgaon,"₹ 8,500 /month",No
GM Creation,Photography,Hyderabad,"₹ 15,000-20,000 /month",No
Wudbox,Operations,Mumbai,"₹ 10,000 /month",No
ServerGuy,Social Media,Agra,"₹ 5,000-10,000 /month",No
The Artonaut,Visual Communications Design,Hyderabad,"₹ 5,000 /month",No
Rentkar-Switch To Share,Operations,Noida,"₹ 12,000-14,000 /month",No
PatilKaki,Digital Marketing,Mumbai,"₹ 10,000 /month",No
The Souled Store,Brand Partnerships And Licensing,Mumbai,"₹ 10,000 /month",No
Sports For All,Customer Service,Navi Mumbai,"₹ 15,000 /month",No
Pereyan LLP,Business Development (Sales),Mumbai,"₹ 8,000 /month",No
Genesis,Industrial And Production Engineering,Mumbai,"₹ 12,000-15,000 /month",No
Relinns Technologies,Digital Marketing,Bangalore,"₹ 8,000 /month",No
Kiaya Accessories,Business Development (Sales),Mumbai,"₹ 6,000 /month",No
Ambika Global Foods And Beverages Private Limited,Shipping & Logistics,Mohali,"₹ 5,000 /month",No
Dashtoon,Business Operations,Bangalore,"₹ 20,000 /month",No
Primary Healthtech,Engineering (Chemical/Biotechnology/Microbiology),Mumbai,"₹ 5,000-10,000 /month",No
Primary Healthtech,Lab Assistance,Bangalore,"₹ 5,000-10,000 /month",No
Genesis,Industrial Design,Guwahati,"₹ 12,000-15,000 /month",No
Go Digital Technology Consulting,Digital Marketing,Guwahati,"₹ 15,000 /month",No
